gameframe,playerId,event,buildingType,buildingId,x,y
23226,1,constructed,Hunter,7167,32,75
23240,1,constructed,Fishery,7169,11,20
23420,1,construction_site_created,IronMine,0,35,18
23620,1,construction_site_created,GoldMine,0,8,64
23620,1,construction_site_created,Ironsmelter,0,14,23
23820,1,construction_site_created,Mint,0,41,23
23975,1,constructed,Fishery,7289,13,14
24056,1,constructed,Barracks,7300,43,50
24285,1,constructed,Farm,7327,28,54
24314,1,constructed,Woodcutter,7333,38,26
24420,1,construction_site_created,Quarry,0,27,63
24420,1,construction_site_created,Barracks,0,49,49
24424,1,constructed,Guardhouse,7356,21,20
24480,1,construction_site_created,Quarry,0,38,43
24536,1,constructed,Barracks,7388,34,82
24587,1,constructed,Woodcutter,7393,14,84
24740,1,destroyed,Woodcutter,5762,31,45
24763,1,constructed,Guardhouse,7418,35,57
24769,1,constructed,Forester,7421,35,29
25020,1,destroyed,Woodcutter,5315,27,58
25080,1,destroyed,Woodcutter,5937,26,71
25220,1,destroyed,Barracks,4734,25,58
25321,1,constructed,Sawmill,7489,43,45
25380,1,construction_site_created,Barracks,0,26,14
25414,1,constructed,Woodcutter,7507,31,79
25420,1,destroyed,Watchtower,5312,23,63
25420,1,construction_site_created,Farm,0,22,17
25420,1,construction_site_created,Woodcutter,0,26,16
25420,1,construction_site_created,DonkeyBreeder,0,23,12
25420,1,construction_site_created,Fishery,0,25,12
25459,1,constructed,Barracks,7554,28,81
25460,1,construction_site_created,Guardhouse,0,42,58
25480,1,construction_site_created,Well,0,25,19
25500,1,construction_site_cancelled,Well,0,25,19
25520,1,construction_site_created,CoalMine,0,37,53
25611,1,constructed,Watchtower,7612,16,84
25620,1,construction_site_created,Woodcutter,0,29,19
25620,1,construction_site_created,Well,0,19,12
25620,1,construction_site_created,Barracks,0,37,87
25820,1,construction_site_created,Woodcutter,0,37,85
26081,1,constructed,Woodcutter,7711,18,18
26356,1,constructed,Quarry,7755,27,63
26420,1,destroyed,Barracks,6521,30,56
26420,1,construction_site_created,Barracks,0,38,61
26560,1,construction_site_created,Barracks,0,18,92
26562,1,constructed,Woodcutter,7794,12,81
26580,1,construction_site_cancelled,Barracks,0,18,92
26580,1,construction_site_created,Fishery,0,15,90
26600,1,construction_site_created,Barracks,0,17,91
26620,1,construction_site_cancelled,Barracks,0,17,91
26660,1,construction_site_created,Barracks,0,18,92
26680,1,construction_site_cancelled,Barracks,0,18,92
26800,1,destroyed,Hunter,4852,16,36
26833,1,constructed,GoldMine,7848,8,64
26957,1,constructed,Sawmill,7868,15,16
27018,1,constructed,IronMine,7884,35,18
27446,1,constructed,Quarry,7950,38,43
27460,1,destroyed,Woodcutter,6210,16,21
27500,1,destroyed,Hunter,5626,26,50
27620,1,construction_site_created,Woodcutter,0,19,90
