gameframe,playerId,event,buildingType,buildingId,x,y
20820,1,construction_site_created,Woodcutter,0,18,18
20880,1,destroyed,Woodcutter,5430,25,64
21020,1,construction_site_created,Woodcutter,0,38,26
21193,1,constructed,Barracks,6761,34,82
21220,1,construction_site_created,Guardhouse,0,28,81
21320,1,destroyed,Woodcutter,5712,26,71
21360,1,construction_site_created,Storehouse,0,43,59
21420,1,construction_site_created,Barracks,0,45,63
21420,1,construction_site_created,Woodcutter,0,15,40
21420,1,construction_site_created,Guardhouse,0,40,28
21440,1,construction_site_created,Hunter,0,39,57
21476,1,constructed,Guardhouse,6860,26,76
22020,1,constructed,Forester,6958,26,63
22220,1,destroyed,Barracks,5353,31,54
22319,1,constructed,Woodcutter,7011,31,79
22420,1,construction_site_created,Farm,0,29,54
22468,1,constructed,Fishery,7053,13,14
22477,1,constructed,Woodcutter,7056,32,32
22540,1,construction_site_created,GoldMine,0,25,81
22580,1,construction_site_created,CoalMine,0,30,67
22620,1,construction_site_created,DonkeyBreeder,0,15,17
22620,1,construction_site_created,IronMine,0,21,25
22640,1,construction_site_created,Mint,0,17,16
22688,1,constructed,Guardhouse,7122,39,49
22820,1,destroyed,Barracks,5738,15,72
22820,1,construction_site_created,Quarry,0,11,83
22820,1,construction_site_created,Ironsmelter,0,14,23
22820,1,construction_site_created,Well,0,15,14
22883,1,constructed,Fishery,7159,13,84
22925,1,constructed,Sawmill,7161,37,59
23002,1,constructed,Barracks,7170,21,20
23051,1,constructed,Fishery,7177,11,20
23140,1,constructed,Barracks,7190,36,22
23760,1,construction_site_created,Barracks,0,47,48
23800,1,destroyed,Woodcutter,5334,26,51
23801,1,constructed,Woodcutter,7283,13,82
23820,1,construction_site_created,Farm,0,41,46
23820,1,construction_site_created,Woodcutter,0,47,60
23915,1,constructed,Fishery,7332,18,15
23923,1,constructed,Woodcutter,7335,18,18
23980,1,construction_site_created,Guardhouse,0,26,16
24020,1,construction_site_created,Fishery,0,24,13
24020,1,construction_site_created,CoalMine,0,8,38
24026,1,constructed,Guardhouse,7375,38,43
24180,1,construction_site_created,Guardhouse,0,42,21
24293,1,constructed,Woodcutter,7440,15,40
24341,1,constructed,Storehouse,7445,33,27
24458,1,constructed,Woodcutter,7461,38,26
24620,1,construction_site_created,Watchtower,0,37,86
24912,1,constructed,Hunter,7539,39,57
24935,1,constructed,Barracks,7543,45,63
25000,1,destroyed,Woodcutter,5759,34,56
25000,1,construction_site_created,Barracks,0,43,52
25020,1,construction_site_created,Woodcutter,0,25,22
25680,1,destroyed,Hunter,4852,16,36
25777,1,constructed,Storehouse,7693,13,80
26020,1,construction_site_created,Sawmill,0,19,13
26220,1,construction_site_created,Woodcutter,0,51,61
26400,1,destroyed,Hunter,6269,25,70
26420,1,construction_site_created,Woodcutter,0,50,58
26420,1,construction_site_created,Hunter,0,33,25
26431,1,constructed,Quarry,7813,11,83
26878,1,constructed,Farm,7877,29,54
27020,1,construction_site_created,Sawmill,0,41,23
27020,1,construction_site_created,Quarry,0,14,83
27040,1,destroyed,Woodcutter,6339,28,76
27187,1,constructed,GoldMine,7938,25,81
27220,1,construction_site_created,Woodcutter,0,51,64
27420,1,constructed,Watchtower,7976,16,84
27420,1,construction_site_created,Woodcutter,0,44,69
27425,1,constructed,CoalMine,7983,30,67
27480,1,construction_site_created,Barracks,0,48,69
27601,1,constructed,Woodcutter,8055,47,60
27620,1,construction_site_created,Farm,0,27,50
27620,1,construction_site_created,Woodcutter,0,26,71
27620,1,construction_site_created,Quarry,0,39,32
27820,1,construction_site_created,IronMine,0,35,18
27820,1,construction_site_created,CoalMine,0,37,53
27820,1,construction_site_created,Brewery,0,21,13
27882,1,constructed,IronMine,8133,21,25
27939,1,constructed,Guardhouse,8144,40,28
28020,1,construction_site_created,GoldMine,0,45,55
28020,1,construction_site_created,Ironsmelter,0,22,15
28123,1,constructed,Storehouse,8178,43,59
28146,1,constructed,Barracks,8184,47,48
28220,1,construction_site_created,Armory,0,21,17
28242,1,constructed,Well,8209,15,14
28275,1,constructed,Farm,8215,41,46
28340,1,construction_site_created,Barracks,0,18,92
28360,1,construction_site_cancelled,Barracks,0,18,92
28360,1,construction_site_created,Fishery,0,15,90
28380,1,construction_site_created,Barracks,0,17,91
28400,1,construction_site_cancelled,Barracks,0,17,91
28420,1,construction_site_created,Armory,0,22,19
28420,1,construction_site_created,Well,0,24,17
28440,1,construction_site_cancelled,Well,0,24,17
28440,1,construction_site_created,Barracks,0,19,90
28460,1,construction_site_cancelled,Barracks,0,19,90
28460,1,construction_site_created,Watchtower,0,16,91
28562,1,constructed,Guardhouse,8292,28,81
28620,1,construction_site_created,Metalworks,0,40,25
28620,1,construction_site_created,Well,0,25,18
28640,1,construction_site_cancelled,Well,0,25,18
28712,1,constructed,Barracks,8332,43,52
28780,1,destroyed,Woodcutter,6093,25,37
28820,1,construction_site_created,Woodcutter,0,16,89
28820,1,construction_site_created,Well,0,16,19
28820,1,construction_site_created,Mint,0,35,27
28836,1,constructed,Fishery,8366,24,13
29030,1,constructed,CoalMine,8409,8,38
29280,1,construction_site_created,Guardhouse,0,51,42
29420,1,construction_site_created,Farm,0,45,46
29480,1,construction_site_created,Barracks,0,53,48
29580,1,construction_site_created,CoalMine,0,37,79
29609,1,constructed,Woodcutter,8568,51,61
29726,1,constructed,Hunter,8589,33,25
29760,1,destroyed,Woodcutter,6587,16,21
29820,1,construction_site_created,Woodcutter,0,51,51
29980,1,constructed,Woodcutter,8645,25,22
